Nom_matiere,UE,Semestre
Télécommunication aéronautique,PTCOxxxTELECOMM,S10
Télécommunication Maritime,PTCOxxxTELECOMM,S10
Méthodes et Techniques d’accès,PTCOxxxTELECOMM,S4
Techniques de modulation et d’accès avancées,PTCOxxxTELECOMM,S8
Télécommunication militaire (PMR),PTCOxxxTELECOMM,S10
Technique d’allocation de ressource radio,PTCOxxxTELECOMM,S8
"Ingénierie, planification et QoS des réseaux de TCO",PTCOxxxTELECOMM,S10
Infrastructure et liaison des systèmes de TCO,PTCOxxxTELECOMM,S10
Emetteur-Récepteur,PTCOxxxTELECOMM,S4
Système de radiodiffusion et télédiffusion,PTCOxxxTELECOMM,S6
Simulation des systèmes de TCO,PTCOxxxTELECOMM,S8
Radio cognitive,PTCOxxxTELECOMM,S10
Télévision numérique,PTCOxxxTELECOMM,S10
Communication Analogique,PTCOxxxTELECOMM,S4
Introduction aux communications numériques,PTCOxxxTELECOMM,S5
Communication numérique,PTCOxxxTELECOMM,S7
Technologie MIMO,PTCOxxxTELECOMM,S8
IoT,PTCOxxxTELECOMM,S10
NGN,PTCOxxxTELECOMM,S10
Téléphonie fixe,PTCOxxxTELECOMM,S5
Commutation électronique 1,PTCOxxxTELECOMM,S6
Intégration téléphonie informatique - VoIP,PTCOxxxTELECOMM,S8
SDR,PTCOxxxTELECOMM,S10
BigData,PTCOxxxTELECOMM,S10
Communication Optique 1,PTCOxxxTELECOMM,S6
Optoélectronique,PTCOxxxTELECOMM,S8
TCO par fibre optique,PTCOxxxTELECOMM,S10
Technique de Communication anglaise  1,PTCOxxxLANCOMCI,S4
Anglais  dans le domaine de la Télécommunication 1,PTCOxxxLANCOMCI,S6
Business english 1,PTCOxxxLANCOMCI,S8
Business english 2,PTCOxxxLANCOMCI,S10
Technique de communication française 1,PTCOxxxLANCOMCI,S4
Technique de rédaction  française 1,PTCOxxxLANCOMCI,S6
Communication française,PTCOxxxLANCOMCI,S8
Expression française,PTCOxxxLANCOMCI,S10
Management et leadership,PTCOxxxECOMAEND,S3
Gestion des projets,PTCOxxxECOMAEND,S5
Business plan,PTCOxxxECOMAEND,S7
Management des ressources humaines et gestion du temps en TCO,PTCOxxxECOMAEND,S10
Economie numérique,PTCOxxxECOMAEND,S3
Economie des TCO,PTCOxxxECOMAEND,S5
Culture de l’ingénieur,PTCOxxxECOMAEND,S7
Techniques de négociation,PTCOxxxECOMAEND,S10
MTU,PTCOxxxECOMAEND,S3
Outils d’aide à la décision,PTCOxxxECOMAEND,S5
Loi sur la Cybercriminalité et Cybersécurité,PTCOxxxECOMAEND,S7
Droit et régulation des TCO,PTCOxxxECOMAEND,S10
ATELIER  S4,PTCOxxxPROASTAM,S4
ATELIER  S5,PTCOxxxPROASTAM,S5
ATELIER  S7,PTCOxxxPROASTAM,S7
ATELIER  S8,PTCOxxxPROASTAM,S8
PROJET,PTCOxxxPROASTAM,S4
PROJET S5,PTCOxxxPROASTAM,S5
PROJET S7,PTCOxxxPROASTAM,S7
PROJET S8,PTCOxxxPROASTAM,S8
STAGE L3,PTCOxxxPROASTAM,S6
STAGE M2,PTCOxxxPROASTAM,S9
MEMOIRE Licence,PTCOxxxPROASTAM,S6
MEMOIRE Master,PTCOxxxPROASTAM,S10
VOYAGE D'ETUDES,PTCOxxxPROASTAM,S7
